CustomerID,Name,Surname,Gender,Birthdate,TransactionAmount,Date,MerchantName,Category
752859,Sean,Rodriguez,F,2002-10-20,35.47,2023-04-03,Smith-Russell,Cosmetic
26381,Michelle,Phelps,,1985-10-24,2552.72,2023-07-17,"Peck, Spence and Young",Travel
305449,Jacob,Williams,M,1981-10-25,115.97,2023-09-20,Steele Inc,Clothing
988259,Nathan,Snyder,M,1977-10-26,11.31,2023-01-11,"Wilson, Wilson and Russell",Cosmetic
764762,Crystal,Knapp,F,1951-11-02,62.21,2023-06-13,Palmer-Hinton,Electronics
576539,Monica,Bartlett,F,2001-10-20,99.14,2023-08-24,"Tran, Torres and Joyce",Cosmetic
124681,Thomas,Shaw,,1976-10-26,145.94,2023-08-30,"Evans, Griffin and Torres",Cosmetic
521807,Kelsey,Pena,F,1968-10-28,161.39,2023-02-08,Miller PLC,Cosmetic
504238,Denise,Porter,M,1957-10-31,77.73,2023-01-12,Jackson-Morgan,Restaurant
583532,Alexander,Richardson,F,1974-10-27,142.85,2023-06-07,"Blake, Mays and Anderson",Clothing
924841,Kimberly,Ball,M,1976-10-26,928.68,2023-02-11,"Miller, Walker and Bond",Travel
123235,Hunter,Peters,M,1971-10-28,387.78,2023-09-24,"Barker, Ortiz and Cox",Market
840546,Julie,Russell,M,1968-10-28,142.07,2023-08-07,Taylor-Morrow,Cosmetic
516709,Christopher,Harris,M,2004-10-19,107.44,2023-04-22,Gonzalez-Hunter,Cosmetic
683760,Amber,Brown,M,2004-10-19,54.31,2023-04-10,Underwood-Contreras,Cosmetic
777948,Amy,Pierce,F,1966-10-29,79.57,2023-01-05,Rodriguez Ltd,Restaurant
440706,Elizabeth,Barnes,F,1957-10-31,441.18,2023-02-28,Wilson-Zavala,Market
793150,Chad,Reese,,1962-10-30,475.82,2023-04-22,Hughes Inc,Market
27213,Michelle,Holden,M,1949-11-02,106.26,2023-05-20,Morris-Foster,Cosmetic
401993,Steven,Smith,M,1999-10-21,1468.14,2023-05-14,"Thompson, Lopez and Mason",Travel
103920,Patrick,Price,M,1977-10-26,40.08,2023-05-28,"Barber, Williamson and Norman",Clothing
943548,Daniel,Pitts,,1995-10-22,39.87,2023-06-01,Shaw-Elliott,Clothing
178351,Robert,Rice,F,1993-10-22,151.73,2023-06-29,Solis-Washington,Clothing
615357,Sara,Michael,M,1993-10-22,17.05,2023-04-17,Wright Inc,Restaurant
111696,Anthony,Miller,,1991-10-23,108.3,2023-06-14,"Nguyen, Patel and Dudley",Cosmetic
6905,Jessica,White,M,1981-10-25,366.56,2023-02-01,"Berry, Reeves and Best",Market
291542,Kimberly,Ross,M,1959-10-31,924.23,2023-03-18,"Pacheco, Sullivan and Jones",Electronics
517389,Brian,Jones,F,1956-10-31,781.85,2023-03-30,Dorsey Inc,Travel
744599,William,Contreras,F,2003-10-20,1479.49,2023-04-15,"Fuller, Jones and White",Travel
726547,Adam,Hansen,,1966-10-29,94.69,2023-09-13,Johnson-Campbell,Cosmetic
485562,Betty,Atkinson,F,1994-10-22,58.97,2023-09-21,"Freeman, Bush and Zuniga",Cosmetic
28347,Pamela,Nguyen,M,1978-10-26,148.26,2023-06-06,Schwartz-Stephens,Cosmetic
899551,Sarah,Warner,F,1961-10-30,157.6,2023-07-20,Cook-Williams,Clothing
485255,Amy,Mercer,F,1970-10-28,2071.69,2023-09-20,"Peck, Horn and Stanley",Travel
668341,Manuel,Robinson,M,1961-10-30,251.83,2023-06-21,Gonzalez-Castro,Market
355400,Aaron,Martinez,F,1978-10-26,631.18,2023-09-10,Padilla-Greene,Travel
796123,Darlene,Tucker,M,1953-11-01,1745.4,2023-03-05,Manning Inc,Travel
343329,Hannah,Maynard,M,1980-10-25,487.43,2023-01-14,"Gilbert, Hernandez and Wilson",Electronics
409886,Benjamin,Rice,M,2000-10-20,64.39,2023-05-18,Lynch Inc,Clothing
11697,Jason,Johnson,F,2001-10-20,2423.86,2023-09-02,King-Wright,Travel
13908,Scott,Harrison,F,2003-10-20,98.4,2023-09-17,"White, Bernard and Adkins",Cosmetic
373595,Emily,Mcdaniel,F,1987-10-24,84.46,2023-05-17,Mason PLC,Restaurant
599093,Thomas,Salas,,1956-10-31,57.83,2023-08-06,Jimenez Inc,Electronics
370834,Katherine,Howard,F,1997-10-21,856.38,2023-07-26,Hamilton and Sons,Electronics
261654,Kevin,Harris,,1977-10-26,147.43,2023-06-11,Thomas LLC,Cosmetic
232533,Jose,Gould,M,1958-10-31,128.67,2023-10-07,Sanders PLC,Cosmetic
555415,Meghan,Acosta,F,1962-10-30,50.21,2023-03-20,"Washington, Hinton and Sparks",Market
717993,Michael,Huang,M,1998-10-21,71.38,2023-09-26,"French, Wright and Tapia",Clothing
573771,Dana,Hunt,F,1991-10-23,331.08,2023-06-30,Torres LLC,Electronics
59223,Lisa,Ross,F,1949-11-02,711.74,2023-07-07,Diaz LLC,Travel
801291,Sydney,Spencer,,1980-10-25,1374.86,2023-03-19,Johnson LLC,Travel
858686,Brian,Mcintyre,F,2003-10-20,39.24,2023-02-18,Morales-Velasquez,Restaurant
652558,Melanie,Greene,F,1995-10-22,16.68,2023-05-01,Barnes-Walton,Cosmetic
39683,Anthony,Hoffman,M,1982-10-25,112.63,2023-05-25,Ellis-Zimmerman,Cosmetic
344613,Michelle,Kim,F,1957-10-31,185.8,2023-05-07,Nguyen-Bradley,Cosmetic
62730,Matthew,Aguilar,M,1978-10-26,58.11,2023-03-31,"Brooks, Reed and Adams",Restaurant
816425,Tammy,Williams,F,1966-10-29,66.45,2023-06-23,Cooper Inc,Restaurant
641954,Justin,Mathews,F,1995-10-22,2035.14,2023-09-14,"Beck, Morris and Murphy",Travel
904827,Matthew,Hobbs,F,1963-10-30,153.73,2023-06-20,"Blankenship, Atkinson and Howard",Travel
779830,Ann,Sullivan,F,1955-11-01,130.7,2023-02-12,Hester-Greer,Cosmetic
765738,Joshua,Burgess,F,1998-10-21,180.37,2023-08-21,Wilcox PLC,Market
805732,Sabrina,White,F,1980-10-25,2612.99,2023-07-03,"Woodard, Boyd and Mays",Travel
982485,Leslie,Campbell,,1982-10-25,139.2,2023-08-04,"White, Hensley and Hayes",Market
955318,Jeffery,Morgan,F,1972-10-27,235.47,2023-06-18,"Collins, Hill and Chapman",Clothing
